logradouro;bairro;cidade;taxa;Area;quartos;suites;banheiros;vagas;preco;somatorio_comodos;area_comodo;preco_area;Zona
Rua Carapeba, 115;Ponta Negra; Natal; 000000300; 000056; 0002; 001; 02; 000000000001; 000000220000;5;11;3928;Zona Sul  
Rua Poeta Jorge Fernandes, 2205;Ponta Negra; Natal; 000000518; 000064; 0002; 001; 02; 000000000001; 000000250000;5;12;3906;Zona Sul  
Rua Joaquim Eduardo de Farias, 20;Ponta Negra; Natal; 000000240; 000055; 0002; 001; 02; 000000000001; 000000190000;5;11;3454;Zona Sul  
Rua Jaguarari, 500;Candelária; Natal; 000001100; 000500; 0006; 005; 08; 000000000008; 000002500000;19;26;5000;Zona Sul  
Rua Jaguarari, 500;Candelária; Natal; 000001500; 000800; 0006; 006; 08; 000000000006; 000002800000;20;40;3500;Zona Sul  
Rua Joaquim Eduardo de Farias, 213;Ponta Negra; Natal; 000000230; 000055; 0002; 001; 02; 000000000001; 000000180000;5;11;3272;Zona Sul  
Rua Doutor Paulo Viveiros, 558;Petrópolis; Natal; 000000530; 000070; 0002; 001; 02; 000000000001; 000000160000;5;14;2285;Zona Leste
Rua Abraham Tahim;Capim Macio; Natal; 000000500; 000100; 0003; 001; 03; 000000000002; 000000450000;7;14;4500;Zona Sul  
Rua Raimundo Chaves;Candelária; Natal; 000001200; 000230; 0004; 004; 06; 000000000003; 000001000000;14;16;4347;Zona Sul  
Rua Ataulfo Alves;Candelária; Natal; 000001350; 000253; 0005; 004; 05; 000000000003; 000001080000;14;18;4268;Zona Sul  
Rua Ilíria Tavares Galvão, 50;Tirol; Natal; 000000900; 000170; 0003; 003; 04; 000000000002; 000000420000;10;17;2470;Zona Leste
Rua João Alves de Melo;Lagoa Nova; Natal; 000000400; 000058; 0002; 001; 02; 000000000001; 000000260000;5;11;4482;Zona Sul  
Rua Jaguarari, 5250;Candelária; Natal; 000000370; 000103; 0003; 002; 03; 000000000002; 000000400000;8;12;3883;Zona Sul  
Avenida Deodoro da Fonseca;Petrópolis; Natal; 000000200; 000058; 0002; 001; 02; 000000000001; 000000250000;5;11;4310;Zona Leste
Avenida Prudente de Morais;Tirol; Natal; 000001100; 000208; 0004; 003; 06; 000000000004; 000001350000;13;16;6490;Zona Leste
Rua Ministro Raimundo de Brito, 1676;Morro Branco; Natal; 000001300; 000200; 0003; 001; 03; 000000000002; 000000750000;7;28;3750;Vazio     
Rua Apodi;Tirol; Natal; 000000500; 000112; 0003; 001; 03; 000000000002; 000000580000;7;16;5178;Zona Leste
Rua Dom José Tomaz, 1262;Tirol; Natal; 000001200; 000210; 0004; 004; 05; 000000000003; 000000680000;13;16;3238;Zona Leste
Rua Ismael Pereira da Silva;Capim Macio; Natal; 000000800; 000200; 0004; 001; 04; 000000000003; 000000450000;9;22;2250;Zona Sul  
Avenida das Brancas Dunas;Candelária; Natal; 000000250; 000120; 0003; 001; 03; 000000000001; 000000215000;7;17;1791;Zona Sul  
Rua General Oliveira Galvão;Tirol; Natal; 000000720; 000136; 0004; 003; 04; 000000000002; 000000619000;11;12;4551;Zona Leste
Avenida Rui Barbosa;Tirol; Natal; 000001400; 000240; 0004; 004; 05; 000000000003; 000000950000;13;18;3958;Zona Leste
Rua Tenente Olavo Francisco dos Santos;Ponta Negra; Natal; 000000270; 000057; 0002; 001; 02; 000000000001; 000000285000;5;11;5000;Zona Sul  
Avenida Engenheiro Roberto Freire, 4382;Ponta Negra; Natal; 000000408; 000055; 0002; 001; 02; 000000000001; 000000470000;5;11;8545;Zona Sul  
Avenida Engenheiro Roberto Freire, 3112;Ponta Negra; Natal; 000000010; 000057; 0002; 002; 02; 000000000001; 000000360000;6;9;6315;Zona Sul  
Rua Cláudio Machado;Petrópolis; Natal; 000000010; 000254; 0003; 003; 04; 000000000003; 000000820000;10;25;3228;Zona Leste
Avenida Engenheiro Roberto Freire, 4382;Ponta Negra; Natal; 000000438; 000055; 0002; 001; 02; 000000000001; 000000439000;5;11;7981;Zona Sul  
Rua General Gustavo Cordeiro de Faria, 386;Petrópolis; Natal; 000000440; 000056; 0002; 001; 02; 000000000001; 000000230000;5;11;4107;Zona Leste
Avenida Governador Sílvio Pedroza, 312;Areia Preta; Natal; 000002400; 000320; 0004; 004; 06; 000000000004; 000001300000;14;22;4062;Zona Leste
Rua Leonora Armstrong, 300;Ponta Negra; Natal; 000000320; 000057; 0002; 001; 02; 000000000001; 000000260000;5;11;4561;Zona Sul  
Rua Doutor Aderson Dutra de Almeida, 95;Ponta Negra; Natal; 000000010; 000057; 0002; 001; 02; 000000000001; 000000310000;5;11;5438;Zona Sul  
Rua Ismael Pereira da Silva;Capim Macio; Natal; 000001200; 000196; 0003; 003; 05; 000000000004; 000001400000;11;17;7142;Zona Sul  
Rua Princesa Isabel, 816;Cidade Alta; Natal; 000000350; 000075; 0003; 001; 03; 000000000002; 000000310000;7;10;4133;Zona Leste
Rua Teotônio Freire, 75;Ribeira; Natal; 000000300; 000075; 0003; 001; 02; 000000000002; 000000250000;6;12;3333;Zona Leste
Rua Antônio Lourenço, 270;Ponta Negra; Natal; 000000200; 000054; 0002; 001; 01; 000000000001; 000000200000;4;13;3703;Zona Sul  
Rua Pinto Martins, 1025;Areia Preta; Natal; 000001811; 000279; 0004; 004; 01; 000000000004; 000001770000;9;31;6344;Zona Leste
Rua Antônio Madruga, 1959;Capim Macio; Natal; 000000260; 000055; 0002; 001; 01; 000000000002; 000000357000;4;13;6490;Zona Sul  
